,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
15,shiba-inu,16,SHIB,Shiba Inu,589317792987957.1000000000000000,,6125170979.6159356076781138,160783637.5003005990657970,0.0000103936637456,-0.5929927617367146,0.0000100979111746,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
16,multi-collateral-dai,17,DAI,Multi Collateral DAI,5347888595.7464075000000000,,5346745622.9593998671018661,145760493.3555603921274394,0.9997862758794346,-0.0271310610054581,1.0010445843990799,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
17,litecoin,18,LTC,Litecoin,73994864.0652793500000000,84000000.0000000000000000,5257901336.8907987399151928,131625925.9339377664316443,71.0576524912891437,-0.5532749128617265,69.9976002914304282,http://explorer.litecoin.net/chain/Litecoin
18,internet-computer,19,ICP,Internet Computer,451320800.0347127300000000,,4502187306.1881466957894789,210869830.5094446123269599,9.9755812403103669,-3.2783992591631372,9.6263058936744723,https://www.dfinityexplorer.org/#/
19,bitcoin-cash,20,BCH,Bitcoin Cash,19588937.5000000000000000,21000000.0000000000000000,4467890387.9622686160419625,72115832.1969397333595150,228.0823239117623718,0.3501222609840949,224.7751698351853481,https://blockchair.com/bitcoin-cash/blocks
20,uniswap,21,UNI,Uniswap,598187015.7100000000000000,1000000000.0000000000000000,3543888639.7003505125581094,62202946.1948399565580176,5.9243824199260477,-2.7911460111592490,5.8525452553084602,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
21,unus-sed-leo,22,LEO,UNUS SED LEO,928180569.9000000000000000,,3512600988.0482249228377951,195633.1355063546649396,3.7843940090522088,0.1237322824564931,3.7704328649051057,https://eospark.com/account/bitfinexleo1
22,stellar,23,XLM,Stellar,28191248394.6044270000000000,50001806812.0000000000000000,3413987557.3538328271797125,61253987.9049130018683056,0.1211009711087233,-0.3603539912406289,0.1195051362926069,https://dashboard.stellar.org/
23,okb,24,OKB,OKB,60000000.0000000000000000,,3303921652.0830797640000000,447389.0943062421418383,55.0653608680513294,-0.9201913073603465,54.3456237615776413,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c
24,monero,25,XMR,Monero,18372782.2096977700000000,,3173469971.9802717632674878,73681084.9766663306678883,172.7266962488244154,3.7317764535875254,168.0643629295095423,http://moneroblocks.info/
25,ethereum-classic,26,ETC,Ethereum Classic,144590971.9085992300000000,210700000.0000000000000000,2863468924.9289224199384906,81086235.8154832558992339,19.8039261174550823,-0.8029384168374436,19.4927161935198716,http://gastracker.io/
26,cosmos,27,ATOM,Cosmos,248453201.0000000000000000,,2702868178.4092262156965722,115021936.4214558045924131,10.8787818693035322,-1.7522404346561252,10.6892329147580740,https://www.mintscan.io/
27,injective-protocol,28,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,2686279894.7677658017045943,314786330.4833030551008883,36.7955550700325160,15.6721890399919924,32.5231866908363789,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
28,filecoin,29,FIL,Filecoin,482642107.0000000000000000,,2574520631.7226217762716645,184841038.4621355882206726,5.3342230078624735,1.1779943434694914,5.1687359659961990,https://protocol.ai
29,crypto-com-coin,30,CRO,Crypto.com Coin,25263013692.0000000000000000,30263013692.0000000000000000,2483927924.7835461392662896,6968462.2132930690531597,0.0983227082511588,0.0461430741841055,0.0960498611189160,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
30,trueusd,31,TUSD,TrueUSD,2416896872.1400000000000000,,2415042813.4368060932970910,49480856.9633038119765759,0.9992328763694612,0.1061975694858618,1.0001743385253449,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
31,vechain,32,VET,VeChain,72714516834.0000000000000000,,2393378454.2126655175645164,70553724.9035612328399190,0.0329147267756246,12.4283497150446810,0.0291486766673641,https://explore.veforge.com/
32,bitcoin-bep2,33,BTCB,Bitcoin BEP2,53883.7227457000000000,,2305956579.0748028205220148,2385839.8406151999999998,42795.0494429938312517,0.0004478797579355,,https://explorer.binance.org/asset/BTCB-1DE
33,near-protocol,34,NEAR,NEAR Protocol,1004666471.0000000000000000,,2288809272.4933859545414601,62184672.9813118254741570,2.2781782198974031,0.2608926832717057,2.1759749186984160,https://explorer.nearprotocol.com/
34,lido-dao,35,LDO,Lido DAO,889570199.3203660000000000,1000000000.0000000000000000,1896937588.7577793687400440,2581876.0550004845179963,2.1324203421012133,1.9438823553370747,2.0648132374303392,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
35,thorchain,36,RUNE,THORChain,337367362.0000000000000000,,1861695965.3571024969520220,62578319.5754576257265883,5.5183048956499310,0.0049524844274614,5.3522591571992338,https://explorer.binance.org/asset/RUNE-B1A
36,stacks,37,STX,Stacks,1428436008.3826890000000000,1818000000.0000000000000000,1760841806.2678147326654460,129084336.8405321171951724,1.2327061176940533,15.2974361790584613,1.1474630345735793,https://explorer.xinfin.network/
37,render-token,38,RNDR,Render Token,369614008.1087959400000000,536870912.0000000000000000,1628681890.7257556953379368,15314363.8807376219677535,4.4064398399271516,5.2545668768431485,4.2072806640087096,https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
38,algorand,39,ALGO,Algorand,8006610736.0357630000000000,10000000000.0000000000000000,1559447018.7574757995568473,56778289.4466343072266762,0.1947699307696817,1.7500132170848849,0.1869712919778946,https://algoexplorer.io/
39,the-graph,40,GRT,The Graph,9361166133.4558700000000000,,1483733490.1695699861597960,33749869.2288392838115592,0.1584987884006091,-0.7154285099571737,0.1529444664935051,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
40,aave,41,AAVE,Aave,14669175.8472817200000000,16000000.0000000000000000,1461839729.2373005939758474,89162189.7499310154685507,99.6538418010843901,-0.9518849058695593,97.5085088067204107,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
41,elrond-egld,42,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,1422338711.5134783693725810,36135904.3080819973695584,58.8118518244862703,-1.8921656149031534,57.9900730091392128,https://explorer.elrond.com/
